specimenAgingtime;specimenAgingT;specimenCreepStress;specimenMaterialStateName;specimen_ID;tEMProcess;transmissionElectronMicroscope;manufacturerSeries;tEMManufacturer;calibrationFactor;dFImage_ID;precipitateGeometryMeasurement;particleNumber;particleArea;weightedXPositionCentralPoint;weightedYPositionCentralPoint;perimeter;elipseFitMajorAxis;elipseFitMinorAxis;particleRadius_nm;labDFImage_ID;softwareAgent;;;
0;0;0;T61;T61_1;tEMProcess_1;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_1;T61_1_1_1;299;409.41;16.42;63.113;20.301;18.753;1.4633624839;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_2;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_2;T61_1_1_2;730;1007.125;21.76;101.154;33.43;27.803;2.2865344696;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_3;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_3;T61_1_1_3;595;1331.226;38.766;90.326;29.282;25.872;2.0643094732;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_4;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_4;T61_1_1_4;918;594.272;44.496;114.225;34.992;33.403;2.5641159683;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_5;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_5;T61_1_1_5;1129;1943.564;47.698;126.468;42.578;33.761;2.8435658747;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_6;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_6;T61_1_1_6;118;718.407;40.059;40.042;12.617;11.908;0.9193001402;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_7;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_7;T61_1_1_7;393;908.576;52.093;76.184;28.064;17.83;1.6776934072;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_8;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_8;T61_1_1_8;336;1185.827;88.057;67.841;21.745;19.674;1.5512648837;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_9;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_9;T61_1_1_9;787;956.336;114.862;103.983;32.559;30.776;2.3741255884;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_10;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_10;T61_1_1_10;401;236.809;118.143;75.012;25.231;20.235;1.6946831409;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_11;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_11;T61_1_1_11;559;526.044;136.967;86.669;27.49;25.891;2.0008854524;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_12;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_12;T61_1_1_12;484;1337.068;143.94;85.497;29.221;21.089;1.8618256257;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_13;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_13;T61_1_1_13;2481;1615.823;162.069;193.723;68.494;46.119;4.2153118060;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_14;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_14;T61_1_1_14;190;1022.1;144.889;50.527;17.7;13.668;1.1665225088;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_15;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_15;T61_1_1_15;434;1447.24;189.498;75.841;25.153;21.969;1.7630360287;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_16;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_16;T61_1_1_16;3028;884.702;216.359;223.38;72.035;53.521;4.6568715406;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_17;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_17;T61_1_1_17;4325;1138.127;221.322;253.279;83.48;65.965;5.5655665299;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_18;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_18;T61_1_1_18;763;1684.199;209.967;101.74;33.955;28.611;2.3376451765;L_T61_1_1;ImageJ;;;
